이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,"4억 3,000","248/162m², 4/9층",정보없음,248,162,4,9,매매,,,"4억 3,000"
지식산업센터,"2,000/150","261/166m², 8/11층",정보없음,261,166,8,11,월세,"2,000",150,
지식산업센터,"3,000/300","528/336m², 9/13층",정보없음,528,336,9,13,월세,"3,000",300,
지식산업센터,"3,680/368","433/304m², 5/6층",인철테크노밸리,433,304,5,6,월세,"3,680",368,
지식산업센터,"4억 3,000","247/161m², 4/10층",정보없음,247,161,4,10,매매,,,"4억 3,000"
지식산업센터,"1,500/140","247/163m², 9/9층",부천테크노파크,247,163,9,9,월세,"1,500",140,
지식산업센터,"5억 3,000","270/216m², B1/12층",정보없음,270,216,B1,12,매매,,,"5억 3,000"
지식산업센터,"2,000/150","264/166m², B1/12층",정보없음,264,166,B1,12,월세,"2,000",150,
지식산업센터,"8,000","29/27m², 4/5층",부천테크노파크,29,27,4,5,월세,"8,000",,
지식산업센터,"3,000/270","508/336m², 8/9층",부천테크노파크,508,336,8,9,월세,"3,000",270,
지식산업센터,8억,"373/304m², 8/9층",부천테크노파크,373,304,8,9,매매,,,8억
지식산업센터,"1,000/95","148/82m², 10/12층",정보없음,148,82,10,12,월세,"1,000",95,
지식산업센터,"4,000/300","518/337m², 15/15층",정보없음,518,337,15,15,월세,"4,000",300,
지식산업센터,"8억 4,000","516/336m², 6/9층",정보없음,516,336,6,9,매매,,,"8억 4,000"
지식산업센터,"4억 3,000","247/161m², 4/9층",정보없음,247,161,4,9,매매,,,"4억 3,000"
지식산업센터,"8억 3,000","508/336m², 8/9층",부천테크노파크,508,336,8,9,매매,,,"8억 3,000"
지식산업센터,"2,000/180","279/185m², B1/9층",부천테크노파크,279,185,B1,9,월세,"2,000",180,
지식산업센터,"4억 3,000","254/166m², 8/9층",정보없음,254,166,8,9,매매,,,"4억 3,000"
지식산업센터,"2,000/150","254/166m², 8/9층",정보없음,254,166,8,9,월세,"2,000",150,
지식산업센터,"2,000/160","279/185m², B1/9층",부천테크노파크,279,185,B1,9,월세,"2,000",160,
지식산업센터,"6,900/690","814/578m², 4/4층",인철테크노밸리,814,578,4,4,월세,"6,900",690,
지식산업센터,"7,000/700","727/595m², B1/6층",인철테크노밸리,727,595,B1,6,월세,"7,000",700,
지식산업센터,"1,500/160","254/163m², 3/10층",정보없음,254,163,3,10,월세,"1,500",160,
지식산업센터,"4,513/451","1388/373m², 5/7층",인철테크노밸리,1388,373,5,7,월세,"4,513",451,
지식산업센터,"3,682/368","433/304m², 5/7층",인철테크노밸리,433,304,5,7,월세,"3,682",368,
지식산업센터,"6,925/692","814/572m², 4/7층",인철테크노밸리,814,572,4,7,월세,"6,925",692,
지식산업센터,"7,050/705","818/575m², B1/7층",인철테크노밸리,818,575,B1,7,월세,"7,050",705,
지식산업센터,7억,"127/68m², 1/5층",정보없음,127,68,1,5,매매,,,7억
