이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,"1,100/110","145/72m², 19/20층",부천테크노밸리 U1 center,145,72,19,20,월세,"1,100",110,
지식산업센터,"1,500/100","142/76m², 1/13층",정보없음,142,76,1,13,월세,"1,500",100,
지식산업센터,"2억 5,300","120/60m², 17/20층",부천테크노밸리 U1 center,120,60,17,20,매매,,,"2억 5,300"
지식산업센터,"2억 5,000","126/63m², 18/20층",부천테크노밸리 U1 center,126,63,18,20,매매,,,"2억 5,000"
지식산업센터,"3억 2,000","186/99m², 4/13층",정보없음,186,99,4,13,매매,,,"3억 2,000"
지식산업센터,"1,000/60","76/38m², 13/20층",부천테크노밸리 U1 center,76,38,13,20,월세,"1,000",60,
지식산업센터,"2억 8,500","143/72m², 9/20층",부천테크노밸리 U1 center,143,72,9,20,매매,,,"2억 8,500"
지식산업센터,"2,000/250","376/200m², 10/13층",정보없음,376,200,10,13,월세,"2,000",250,
지식산업센터,"1,000/90","120/61m², 15/20층",부천테크노밸리 U1 center,120,61,15,20,월세,"1,000",90,
지식산업센터,"4억 2,000","194/97m², 10/20층",부천테크노밸리 U1 center,194,97,10,20,매매,,,"4억 2,000"
지식산업센터,"1억 9,000","75/38m², 2/20층",부천테크노밸리 U1 center,75,38,2,20,매매,,,"1억 9,000"
지식산업센터,13억,"645/324m², 18/20층",부천테크노밸리 U1 center,645,324,18,20,매매,,,13억
지식산업센터,4억,"174/87m², 5/20층",부천테크노밸리 U1 center,174,87,5,20,매매,,,4억
지식산업센터,13억,"645/323m², 18/20층",부천테크노밸리 U1 center,645,323,18,20,매매,,,13억
지식산업센터,"2억 8,500","143/72m², 9/20층",부천테크노밸리 U1 center,143,72,9,20,매매,,,"2억 8,500"
